CV_score,n_basis,fold_size,n_folds,success_count
2.16851,16,5,12,1000
2.17341,17,5,12,1000
2.18263,18,5,12,1000
2.15647,19,5,12,1000
2.19268,20,5,12,1000
2.17718,21,5,12,1000
2.1798,22,5,12,1000
2.1966,23,5,12,1000
2.1786,24,5,12,1000
2.18768,25,5,12,1000
