CV_score,n_basis,fold_size,n_folds,success_count
0,1,5,12,0
2.29641,2,5,12,1000
2.11258,3,5,12,1000
0.73444,4,5,12,1000
0.24181,5,5,12,1000
8.88013,6,5,12,1000
