CV_score,n_basis,fold_size,n_folds,success_count
0.73444,4,5,12,1000
0.2544,5,5,12,1000
0.08621,6,5,12,1000
0.11177,7,5,12,1000
0.05012,8,5,12,1000
0.07465,9,5,12,1000
0.04574,10,5,12,1000
0.05629,11,5,12,1000
0.05291,12,5,12,1000
0.06083,13,5,12,1000
0.06926,14,5,12,1000
0.09058,15,5,12,1000
