"","f1_e1","f1_e2","f2_e1","f2_e2","n_basis","success_count"
"1",0,0,0,0,1,0
"2",0,0,0,0,3,0
"3",3.61833,129.83284,0.07736,1.78876,5,5000
"4",3.66209,129.88835,0.06311,1.77442,7,5000
"5",3.68812,129.91351,0.0717,1.78321,9,5000
"6",4.10715,130.34635,0.08317,1.79518,11,5000
"7",4.17569,130.4147,0.08837,1.80046,13,5000
"8",4.21112,130.44645,0.09965,1.81164,15,5000
"9",4.2129,130.45091,0.08775,1.79975,17,5000
"10",4.21884,130.45501,0.09032,1.80229,19,5000
