f1_e1,f1_e2,f2_e1,f2_e2,n_basis,success_count
0,0,0,0,2,0
850.4412733744109,1213.8140539734927,3.8236636412019833,8.897502175579596,3,5000
707.3010870878134,1055.8475812843546,3.8078415761755644,8.70554517515224,4,5000
20.31625697423958,145.07792350191076,1.359617859777195,3.0501418000153837,5,5000
149.10785939501775,304.27855690128166,15.751329717473407,17.837076656041035,6,5000
18.26214780705372,149.02192852386287,3.466043804987218,5.229971015850463,7,5000
104.238389580443,251.4911183252118,3.8054003202418447,5.810837874309648,8,5000
20.943622736274857,156.64499955347247,1.4149864398003174,3.249935543070115,9,5000
24.39123198360509,154.15914718969913,2.22091559613455,3.979236786812421,10,5000
129.84570459993657,273.20028560239194,21.255335647735198,23.206704788402895,11,5000
70.75253146095184,205.5475819575774,2.3064263163653074,4.141871864064028,12,5000
