"","f1_e1","f1_e2","f2_e1","f2_e2","n_basis","success_count"
"1",0,0,0,0,1,0
"2",3.69752,129.19134,0.69524,2.3944,3,5000
"3",3.6347,130.59282,0.07418,1.79582,5,5000
"4",3.67623,132.08248,0.05147,1.79343,7,5000
"5",3.71885,133.67575,0.05105,1.81291,9,5000
"6",3.76451,135.26219,0.05146,1.83463,11,5000
"7",3.81095,136.90282,0.05197,1.85724,13,5000
"8",3.85674,138.57258,0.05252,1.88021,15,5000
"9",3.90619,140.29178,0.05304,1.90283,17,5000
"10",3.95517,142.05727,0.05365,1.92718,19,5000
