"","f1_e1","f1_e2","f2_e1","f2_e2","n_basis","success_count"
"1",3.91274,130.1171,0.38077,2.09045,4,5000
"2",3.97061,130.18108,0.75664,2.46627,5,5000
"3",3.83646,130.05682,0.19244,1.90433,6,5000
"4",3.8814,130.0934,0.3326,2.04419,7,5000
"5",4.2679,130.49905,0.09497,1.8071,8,5000
"6",4.31978,130.54252,0.15828,1.87039,9,5000
"7",4.32413,130.5527,0.10538,1.81745,10,5000
"8",4.31263,130.53896,0.13116,1.84322,11,5000
"9",4.33997,130.56608,0.10762,1.81971,12,5000
"10",4.34107,130.56642,0.11868,1.83076,13,5000
"11",4.35627,130.57893,0.12832,1.84037,14,5000
"12",4.35369,130.57747,0.11173,1.82379,15,5000
"13",4.35313,130.57695,0.11652,1.82861,16,5000
"14",4.3476,130.57119,0.11283,1.82497,17,5000
"15",4.31541,130.54208,0.08832,1.80044,18,5000
"16",4.32121,130.54666,0.10087,1.81304,19,5000
"17",4.2968,130.52361,0.08341,1.79552,20,5000
"18",4.30044,130.52787,0.08785,1.79994,21,5000
"19",4.29859,130.52514,0.08833,1.80045,22,5000
"20",4.28391,130.51071,0.08189,1.79394,23,5000
"21",4.29418,130.52054,0.08928,1.80134,24,5000
"22",4.28911,130.51512,0.0856,1.79766,25,5000
