f1_e1,f1_e2,f2_e1,f2_e2,n_basis,success_count
0,0,0,0,1,0
5.0485854314959395,129.81002566123286,0.7888895424497749,2.47890036317204,3,5000
5.086466893121728,129.84459247546133,0.6975619857765916,2.387777616812142,5,5000
5.292352406513132,130.04946056677363,0.8039280958483688,2.493948286078021,7,5000
5.32413766190969,130.07858643342314,0.800735577229136,2.4907224387243576,9,5000
5.344027581176434,130.09777296274726,0.7971370230224729,2.487133875115523,11,5000
5.436009760185364,130.18816157259332,0.8140985761644749,2.5040424850210665,13,5000
5.5133335864534905,130.2603608621983,0.7890779281872033,2.4790213751435153,15,5000
5.701530375425345,130.44274722296853,0.796593006648417,2.486459127566995,17,5000
5.872593568900928,130.61009981885059,0.7778325026260375,2.4677073138121624,19,5000
