f1_e1,f1_e2,f2_e1,f2_e2,n_basis,success_count
3.9127490963955247,130.1170783090359,0.3807927168700936,2.090474761101881,4,5000
3.6430480624640396,130.61094959896604,0.09511820431115069,1.8164314387816713,5,5000
3.6542611008674575,131.35354539843397,0.07775281510299467,1.8091346529425483,6,5000
3.6770545937377634,132.14205183557064,0.07518488287219192,1.8168036577708813,7,5000
3.710740869697218,133.3653658811635,0.05810108378740701,1.8164984632128844,8,5000
3.7192146351418724,133.6814928169343,0.05640282340664383,1.8193083539013821,9,5000
3.742010447810594,134.5121710907784,0.0521785231194299,1.8257576297312081,10,5000
3.7643964092462974,135.29727347111702,0.051902252769905684,1.8360966075573522,11,5000
3.80109308638683,136.5758146586355,0.052040315671138586,1.8531479959118535,12,5000
3.834360204971099,137.78406681481994,0.052706573106132304,1.869969847032031,13,5000
3.862166917165765,138.73431326927349,0.053068654178390816,1.8826933364948355,14,5000
3.8685638723557956,138.97427074660192,0.0525955164519272,1.8848221385552892,15,5000
3.88505750612787,139.57418873526626,0.05283448721173191,1.8933474257957223,16,5000
3.912671952971778,140.51490301138338,0.053220205231306356,1.9061942087104604,17,5000
3.948125713522542,141.80885020010606,0.053584434348457485,1.9231184762987383,18,5000
