"","f1_e1","f1_e2","f2_e1","f2_e2","n_basis","success_count"
"1",0,0,0,0,1,0
"2",7.17723,131.92717,0.89367,2.58395,2,5000
"3",4.17039,129.64259,0.81224,2.51177,3,5000
"4",3.91275,130.11708,0.38079,2.09047,4,5000
"5",3.6385,130.59817,0.09217,1.81343,5,5000
"6",6.01644,201.15535,0.76208,3.39373,6,5000
