f1_e1,f1_e2,f2_e1,f2_e2,n_basis,success_count
0,0,0,0,1,0
0,0,0,0,3,0
3.618329161410946,129.8328434487026,0.07736478227968759,1.788758126926572,5,5000
3.662093048333792,129.88834753023866,0.06311408792456177,1.7744170564163695,7,5000
3.6881187869213123,129.91351364778538,0.07169678970810282,1.7832062155082151,9,5000
4.107153559867644,130.3463470769763,0.08317131251051056,1.795184792762173,11,5000
4.175687523412161,130.41470420925734,0.08836855274726949,1.800458178238045,13,5000
4.2111246508879345,130.4464480062363,0.09964840781176569,1.811638100649198,15,5000
4.212901881152568,130.4509082123121,0.0877510439504599,1.7997473073565382,17,5000
4.218837392282355,130.45500679825543,0.0903243373115909,1.8022916555807376,19,5000
