"","f1_e1","f1_e2","f2_e1","f2_e2","n_basis","success_count"
"1",0,0,0,0,1,0
"2",5.04859,129.81003,0.78889,2.4789,3,5000
"3",5.08647,129.84459,0.69756,2.38778,5,5000
"4",5.29235,130.04946,0.80393,2.49395,7,5000
"5",5.32414,130.07859,0.80074,2.49072,9,5000
"6",5.34403,130.09777,0.79714,2.48713,11,5000
"7",5.43601,130.18816,0.8141,2.50404,13,5000
"8",5.51333,130.26036,0.78908,2.47902,15,5000
"9",5.70153,130.44275,0.79659,2.48646,17,5000
"10",5.87259,130.6101,0.77783,2.46771,19,5000
