"","f1_e1_spline","f1_e2_spline","f2_e1_spline","f2_e2_spline","n_basis","success_count"
"1",2.13178119016857,71.7099603226115,0.608171495504618,1.53453412563582,4,2500
"2",2.00756061672648,71.9395214288329,0.342736147598609,1.29059813220677,5,2500
"3",1.99374215191544,72.2563479644725,0.245623228181924,1.20138156565603,6,2500
"4",2.03648199621352,73.7857088138923,0.279709073157873,1.24948462939122,7,2500
"5",2.18614795862507,79.0485254545422,0.104397806306425,1.145842683177,8,2500
"6",2.05113790304629,74.1783834857012,0.0355899940503619,1.02172959116332,9,2499
"7",2.10522981230773,76.1883552769234,0.029691294210754,1.03929073546751,10,2499
"8",2.1011969989178,76.4030798206724,0.0296057602994908,1.04246508005367,11,2500
"9",2.38150697658292,86.1706579685565,0.0369986801764011,1.18191116948046,12,2500
"10",2.21136870222925,80.6207607207599,0.0363026864816967,1.10242516644568,13,2500
"11",2.44947712911835,87.6976578759761,0.0380185616636571,1.21257716080672,14,2500
"12",2.28870905624113,83.4755186453129,0.0315198808793299,1.13630733462095,15,2500
"13",2.5490614406393,93.593040512565,0.0351718970102256,1.26520057279256,16,2500
"14",2.55139454545527,93.3074090320499,0.0352440364348144,1.26610962599564,17,2500
"15",2.75160520792553,100.556190093422,0.0380316879790874,1.3620304183365,18,2500
"16",3.02429148497643,109.987580398216,0.0409879625688711,1.4813467852555,19,2500
"17",3.42548075922108,122.395980857659,0.0471595536208038,1.68537882583396,20,2500
"18",3.63355571510069,132.077208928751,0.0490939239286374,1.7750377827367,21,2500
"19",5.93680459997264,209.128064205703,0.0779161032701813,2.86105576687348,22,2500
"20",9.63325470698287,339.676032195418,0.126422677097386,4.65363116820157,23,2500
"21",15.2728939666428,545.827184915647,0.200212312881423,7.22652606521015,24,2500
"22",13.9781506322669,495.957265678323,0.184269309019229,6.6968929082163,25,2500
