"","f1_e1_fpcr","f1_e2_fpcr","f2_e1_fpcr","f2_e2_fpcr","varprop","n_basis","success_count"
"1",0,0,0,0,0,1,0
"2",2.20586811173306,11.2437867333076,0.876785690569479,1.55275814193146,0.984593711557937,3,2500
"3",2.21482397908293,11.2567081939902,0.822727466332034,1.52147226672319,0.95844047068508,5,2500
"4",2.26353333037956,11.2661820742701,0.882776475247262,1.55629384100151,0.948875009434298,7,2500
"5",2.27211565610174,11.2691827522456,0.881138773405307,1.55310211506016,0.943859244573989,9,2500
"6",2.27966309873989,11.2574258197162,0.879046089711899,1.55501069686711,0.939703968814659,11,2500
"7",2.30389992902118,11.2708409794081,0.888739740639428,1.55907341788883,0.942066940502433,13,2500
"8",2.32480422517433,11.2898161084008,0.874322185588244,1.55142749786135,0.928313978046548,15,2500
"9",2.37984108892464,11.2957014022939,0.875021599977128,1.55110553963977,0.918240679963441,17,2500
"10",2.42327795567391,11.3049083367973,0.863177401004033,1.54527386502773,0.916698859015598,19,2499
"11",2.45893285215979,11.3094346132944,0.861945234159618,1.54321865465712,0.913340502780393,21,2500
"12",2.53063243705384,11.3309598746411,0.856233995130109,1.54077616783772,0.908206653679859,23,2500
"13",2.57523268997979,11.3271832279816,0.853068914505466,1.53930180892656,0.906198396153005,25,2500
