"","f1_e1_spline","f1_e2_spline","f2_e1_spline","f2_e2_spline","n_basis","success_count"
"1",0,0,0,0,1,0
"2",2.02918344408687,72.0085477229407,0.511999648510189,1.47468049635309,3,2500
"3",2.0220366421201,72.60172284215,0.16157756089415,1.13746697354709,5,2500
"4",2.0354924731897,73.1836346250812,0.0293072016650537,0.990682620987463,7,2500
"5",2.06199840536677,73.9631412481736,0.0290190767234641,0.999385186246351,9,2500
"6",2.08808310984254,75.0920660376146,0.0290873388349217,1.01393568534507,11,2500
"7",2.09974789215127,75.9422236701681,0.0294100223429063,1.02909474969485,13,2500
"8",2.1086767501285,76.7123085769457,0.0298036585996321,1.03713735705978,15,2500
"9",2.13013296583489,77.4907530428231,0.0300236821233963,1.03980406503428,17,2500
"10",2.15348157839283,78.3942553410957,0.030307463717998,1.0508902800978,19,2500
"11",2.17750745519215,79.2057575714294,0.0306501467540424,1.06172373892826,21,2500
"12",2.20581113466118,80.3800790338639,0.0309985992677207,1.07695651700849,23,2500
"13",2.23717951397715,81.5089652049561,0.0314869147262958,1.09052842774153,25,2500
