"","f1_e1_fpcr","f1_e2_fpcr","f2_e1_fpcr","f2_e2_fpcr","varprop","n_basis","success_count"
"1",2.91634378178703,10.8767845113637,0.959885659495636,1.64305202067108,0.999999999990116,4,2500
"2",2.34496276447926,10.5849935514207,0.864860100703337,1.56313241396926,0.977573237198108,5,2500
"3",2.41866584496256,10.6888768344204,0.873868494602982,1.57587381754158,0.955624176063418,6,2500
"4",2.49711046046423,10.7287421304335,0.862507590585517,1.57234921897344,0.947229759680816,7,2500
"5",2.57986066454917,10.6971365357008,0.871577767690216,1.57495421124258,0.923885312461566,8,2500
"6",2.68282131538127,10.7669443054292,0.853047816122365,1.56611858625813,0.917831778304923,9,2500
"7",2.82496414086493,10.7906053749478,0.830425412214827,1.56215404073581,0.897630685544539,10,2500
"8",2.9081908538713,10.7773679507136,0.82371119567786,1.54240108140516,0.905979136991718,11,2500
"9",2.9519297443767,10.812589395779,0.828567997864495,1.55608120040828,0.903596714905232,12,2500
"10",2.99723923305879,10.8220810730789,0.840403603416744,1.5551334168143,0.90515616368262,13,2500
"11",2.97545322982928,10.7706444472975,0.839565721283622,1.56138554478705,0.907402755732325,14,2500
"12",2.9762244638181,10.7945831908681,0.847565223790741,1.55704240839925,0.905842135586242,15,2500
"13",2.96270596621914,10.8066814406519,0.860915120926125,1.56151991510415,0.906064634590624,16,2500
"14",2.96210007171297,10.7707477359476,0.857045726108824,1.56280063741886,0.905993531084173,17,2500
"15",2.99290292796425,10.8315340576572,0.853610193166125,1.56315245994897,0.89348787535258,18,2500
"16",2.95755656736936,10.7893617736973,0.867611219746308,1.56559797122124,0.900959443200493,19,2500
"17",2.9834891043005,10.8444977276812,0.85138347799816,1.56120055243238,0.893418268016031,20,2500
"18",2.97895759896122,10.8387322180927,0.853578547833973,1.56487664171968,0.892960989613417,21,2500
"19",2.9975490994155,10.85584605418,0.847953341677397,1.56357403598731,0.8961623667594,22,2500
"20",3.02164116678187,10.7774051982315,0.837956813784976,1.56197350913865,0.89202986905266,23,2500
"21",3.02109340236805,10.7746693815589,0.851528627371819,1.56468382260723,0.894449410089366,24,2500
"22",3.00521478814156,10.8527560657663,0.849149799974853,1.56179549079097,0.893700967634703,25,2500
